sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
51990,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51991,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51992,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51993,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51994,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51995,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51996,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51997,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51998,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
51999,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52000,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52001,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52002,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52003,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52004,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52005,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52006,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52007,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52008,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52009,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52010,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52011,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52012,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52013,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52014,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52015,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52016,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52017,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52018,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52019,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52020,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
52021,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
