pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:24:01.852546,V66_RAW,B2-8,HTHP,12110,0,FULL,0
2026-06-18T15:24:01.868097,V66_RAW,B2-8,HTHP,12110,1,PCUT,0
2026-06-18T15:24:01.885607,V66_RAW,B2-8,HTHP,12110,2,NCUT,0
2026-06-18T15:24:01.899970,V66_RAW,B2-8,HTHP,12110,3,EXTR,0
2026-06-18T15:24:01.915393,V66_RAW,B2-8,HTHP,12110,4,FCYC,0
2026-06-18T15:24:01.933146,V66_RAW,B2-8,HTHP,12111,0,FULL,0
2026-06-18T15:24:01.948584,V66_RAW,B2-8,HTHP,12111,1,PCUT,0
2026-06-18T15:24:01.962305,V66_RAW,B2-8,HTHP,12111,2,NCUT,0
2026-06-18T15:24:01.979191,V66_RAW,B2-8,HTHP,12111,3,EXTR,0
2026-06-18T15:24:01.994590,V66_RAW,B2-8,HTHP,12111,4,FCYC,0
2026-06-18T15:24:02.009541,V66_RAW,B2-8,HTHP,12112,0,FULL,0
2026-06-18T15:24:02.027812,V66_RAW,B2-8,HTHP,12112,1,PCUT,0
2026-06-18T15:24:02.041437,V66_RAW,B2-8,HTHP,12112,2,NCUT,0
2026-06-18T15:24:02.056804,V66_RAW,B2-8,HTHP,12112,3,EXTR,0
2026-06-18T15:24:02.071783,V66_RAW,B2-8,HTHP,12112,4,FCYC,0
2026-06-18T15:24:02.087961,V66_RAW,B2-8,HTHP,12113,0,FULL,0
2026-06-18T15:24:02.104899,V66_RAW,B2-8,HTHP,12113,1,PCUT,0
2026-06-18T15:24:02.120141,V66_RAW,B2-8,HTHP,12113,2,NCUT,0
2026-06-18T15:24:02.135923,V66_RAW,B2-8,HTHP,12113,3,EXTR,0
2026-06-18T15:24:02.150739,V66_RAW,B2-8,HTHP,12113,4,FCYC,0
2026-06-18T15:24:02.167005,V66_RAW,B2-8,HTHP,12114,0,FULL,0
2026-06-18T15:24:02.181454,V66_RAW,B2-8,HTHP,12114,1,PCUT,0
2026-06-18T15:24:02.197654,V66_RAW,B2-8,HTHP,12114,2,NCUT,0
2026-06-18T15:24:02.213073,V66_RAW,B2-8,HTHP,12114,3,EXTR,0
2026-06-18T15:24:02.227905,V66_RAW,B2-8,HTHP,12114,4,FCYC,0
2026-06-18T15:24:02.243889,V66_RAW,B2-8,HTHP,12115,0,FULL,0
2026-06-18T15:24:02.259201,V66_RAW,B2-8,HTHP,12115,1,PCUT,0
2026-06-18T15:24:02.277533,V66_RAW,B2-8,HTHP,12115,2,NCUT,0
2026-06-18T15:24:02.292397,V66_RAW,B2-8,HTHP,12115,3,EXTR,0
2026-06-18T15:24:02.305704,V66_RAW,B2-8,HTHP,12115,4,FCYC,0
2026-06-18T15:24:02.338281,V66_RAW,B2-8,HTHP,12116,0,FULL,0
2026-06-18T15:24:02.339611,V66_RAW,B2-8,HTHP,12116,1,PCUT,0
2026-06-18T15:24:02.368656,V66_RAW,B2-8,HTHP,12116,2,NCUT,0
2026-06-18T15:24:02.369941,V66_RAW,B2-8,HTHP,12116,3,EXTR,0
2026-06-18T15:24:02.399750,V66_RAW,B2-8,HTHP,12116,4,FCYC,0
2026-06-18T15:24:02.401377,V66_RAW,B2-8,HTHP,12117,0,FULL,0
