sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
12110,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12111,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12112,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12113,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12114,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12115,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12116,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12117,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12118,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12119,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12120,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12121,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12122,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12123,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12124,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12125,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12126,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12127,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12128,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12129,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12130,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12131,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12132,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12133,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12134,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12135,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12136,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12137,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12138,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12139,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12140,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12141,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12142,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
12143,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
