sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
40277,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40278,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40279,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40280,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40281,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40282,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40283,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40284,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40285,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40286,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40287,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40288,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40290,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40296,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40297,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40298,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40299,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40300,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40301,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40302,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40303,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40304,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40305,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40306,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40307,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40308,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40309,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40310,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40311,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40312,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40313,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40314,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40315,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40316,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40321,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40322,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40323,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40324,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40325,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40326,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40327,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40328,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40329,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40330,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40331,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40332,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40333,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40334,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40335,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40336,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40348,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40355,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40356,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40357,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40358,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40359,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40360,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40361,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40362,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40363,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40364,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40365,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40366,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40367,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40368,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40369,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40370,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40371,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40372,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40373,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40374,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
40375,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
