sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
2538,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2539,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2540,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2541,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2542,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2543,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2544,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2545,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2546,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2547,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2548,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2549,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2550,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2551,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2552,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2553,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2554,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2555,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2556,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2557,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2558,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2559,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2560,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2561,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2562,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2563,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2564,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2565,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2566,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2567,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2568,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2569,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2570,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2571,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2572,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2573,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
