pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T16:51:31.730654,V66_RAW,B2-8,HTNP,39208,0,FULL,0
2026-06-23T16:51:31.746958,V66_RAW,B2-8,HTNP,39208,1,PCUT,0
2026-06-23T16:51:31.762789,V66_RAW,B2-8,HTNP,39208,2,NCUT,0
2026-06-23T16:51:31.778845,V66_RAW,B2-8,HTNP,39208,3,EXTR,0
2026-06-23T16:51:31.794232,V66_RAW,B2-8,HTNP,39208,4,FCYC,0
2026-06-23T16:51:31.809891,V66_RAW,B2-8,HTNP,39209,0,FULL,0
2026-06-23T16:51:31.825978,V66_RAW,B2-8,HTNP,39209,1,PCUT,0
2026-06-23T16:51:31.842037,V66_RAW,B2-8,HTNP,39209,2,NCUT,0
2026-06-23T16:51:31.857395,V66_RAW,B2-8,HTNP,39209,3,EXTR,0
2026-06-23T16:51:31.873304,V66_RAW,B2-8,HTNP,39209,4,FCYC,0
2026-06-23T16:51:31.888492,V66_RAW,B2-8,HTNP,39210,0,FULL,0
2026-06-23T16:51:31.904146,V66_RAW,B2-8,HTNP,39210,1,PCUT,0
2026-06-23T16:51:31.919304,V66_RAW,B2-8,HTNP,39210,2,NCUT,0
2026-06-23T16:51:31.934875,V66_RAW,B2-8,HTNP,39210,3,EXTR,0
2026-06-23T16:51:31.951606,V66_RAW,B2-8,HTNP,39210,4,FCYC,0
2026-06-23T16:51:31.967633,V66_RAW,B2-8,HTNP,39211,0,FULL,0
2026-06-23T16:51:31.984653,V66_RAW,B2-8,HTNP,39211,1,PCUT,0
2026-06-23T16:51:32.012853,V66_RAW,B2-8,HTNP,39211,2,NCUT,0
2026-06-23T16:51:32.013736,V66_RAW,B2-8,HTNP,39211,3,EXTR,0
2026-06-23T16:51:32.028988,V66_RAW,B2-8,HTNP,39211,4,FCYC,0
2026-06-23T16:51:32.045306,V66_RAW,B2-8,HTNP,39212,0,FULL,0
