sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
39208,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39209,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39210,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39211,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39212,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39213,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39214,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39215,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39216,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39217,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39218,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39219,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39220,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39221,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39222,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39223,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39224,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39225,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39226,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39227,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39228,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39229,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39230,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39231,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39232,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39233,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39234,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39235,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39236,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39237,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39238,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39239,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39240,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39241,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39242,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39243,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39244,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39245,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39246,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39247,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39248,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39249,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39250,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39251,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39252,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39253,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39254,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39255,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39256,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39257,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39258,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39259,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39260,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39261,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39262,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39263,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39264,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39265,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39266,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39267,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39268,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39269,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39270,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39271,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39272,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39273,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39274,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39275,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39276,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39277,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39278,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39279,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39280,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39281,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39282,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39283,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39284,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39285,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39286,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39287,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39288,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39290,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39296,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39297,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39298,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39299,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39300,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39301,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39302,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39303,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39304,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39305,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
39306,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
