pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:08:57.413515,V66_RAW,B2-8,NTHP,807,0,FULL,0
2026-06-18T15:08:57.429075,V66_RAW,B2-8,NTHP,807,1,PCUT,0
2026-06-18T15:08:57.443777,V66_RAW,B2-8,NTHP,807,2,NCUT,0
2026-06-18T15:08:57.459532,V66_RAW,B2-8,NTHP,807,3,EXTR,0
2026-06-18T15:08:57.475006,V66_RAW,B2-8,NTHP,807,4,FCYC,0
2026-06-18T15:08:57.490868,V66_RAW,B2-8,NTHP,808,0,FULL,0
2026-06-18T15:08:57.505697,V66_RAW,B2-8,NTHP,808,1,PCUT,0
2026-06-18T15:08:57.521087,V66_RAW,B2-8,NTHP,808,2,NCUT,0
2026-06-18T15:08:57.536580,V66_RAW,B2-8,NTHP,808,3,EXTR,0
2026-06-18T15:08:57.552591,V66_RAW,B2-8,NTHP,808,4,FCYC,0
2026-06-18T15:08:57.569922,V66_RAW,B2-8,NTHP,809,0,FULL,0
2026-06-18T15:08:57.584853,V66_RAW,B2-8,NTHP,809,1,PCUT,0
2026-06-18T15:08:57.600743,V66_RAW,B2-8,NTHP,809,2,NCUT,0
2026-06-18T15:08:57.615730,V66_RAW,B2-8,NTHP,809,3,EXTR,0
2026-06-18T15:08:57.631407,V66_RAW,B2-8,NTHP,809,4,FCYC,0
2026-06-18T15:08:57.647853,V66_RAW,B2-8,NTHP,810,0,FULL,0
2026-06-18T15:08:57.663430,V66_RAW,B2-8,NTHP,810,1,PCUT,0
2026-06-18T15:08:57.678305,V66_RAW,B2-8,NTHP,810,2,NCUT,0
2026-06-18T15:08:57.693462,V66_RAW,B2-8,NTHP,810,3,EXTR,0
2026-06-18T15:08:57.708594,V66_RAW,B2-8,NTHP,810,4,FCYC,0
2026-06-18T15:08:57.724573,V66_RAW,B2-8,NTHP,811,0,FULL,0
2026-06-18T15:08:57.739988,V66_RAW,B2-8,NTHP,811,1,PCUT,0
2026-06-18T15:08:57.754701,V66_RAW,B2-8,NTHP,811,2,NCUT,0
2026-06-18T15:08:57.770429,V66_RAW,B2-8,NTHP,811,3,EXTR,0
2026-06-18T15:08:57.786042,V66_RAW,B2-8,NTHP,811,4,FCYC,0
2026-06-18T15:08:57.801528,V66_RAW,B2-8,NTHP,812,0,FULL,0
2026-06-18T15:08:57.816894,V66_RAW,B2-8,NTHP,812,1,PCUT,0
2026-06-18T15:08:57.832987,V66_RAW,B2-8,NTHP,812,2,NCUT,0
2026-06-18T15:08:57.864154,V66_RAW,B2-8,NTHP,812,3,EXTR,0
2026-06-18T15:08:57.865333,V66_RAW,B2-8,NTHP,812,4,FCYC,0
2026-06-18T15:08:57.894783,V66_RAW,B2-8,NTHP,813,0,FULL,0
2026-06-18T15:08:57.911267,V66_RAW,B2-8,NTHP,813,1,PCUT,0
2026-06-18T15:08:57.912917,V66_RAW,B2-8,NTHP,813,2,NCUT,0
2026-06-18T15:08:57.941526,V66_RAW,B2-8,NTHP,813,3,EXTR,0
2026-06-18T15:08:57.957337,V66_RAW,B2-8,NTHP,813,4,FCYC,0
2026-06-18T15:08:57.972910,V66_RAW,B2-8,NTHP,814,0,FULL,0
2026-06-18T15:08:57.988013,V66_RAW,B2-8,NTHP,814,1,PCUT,0
2026-06-18T15:08:58.003887,V66_RAW,B2-8,NTHP,814,2,NCUT,0
2026-06-18T15:08:58.019890,V66_RAW,B2-8,NTHP,814,3,EXTR,0
2026-06-18T15:08:58.036468,V66_RAW,B2-8,NTHP,814,4,FCYC,0
2026-06-18T15:08:58.052297,V66_RAW,B2-8,NTHP,815,0,FULL,0
2026-06-18T15:08:58.068395,V66_RAW,B2-8,NTHP,815,1,PCUT,0
2026-06-18T15:08:58.083845,V66_RAW,B2-8,NTHP,815,2,NCUT,0
2026-06-18T15:08:58.098864,V66_RAW,B2-8,NTHP,815,3,EXTR,0
2026-06-18T15:08:58.113251,V66_RAW,B2-8,NTHP,815,4,FCYC,0
2026-06-18T15:08:58.129008,V66_RAW,B2-8,NTHP,816,0,FULL,0
2026-06-18T15:08:58.144216,V66_RAW,B2-8,NTHP,816,1,PCUT,0
2026-06-18T15:08:58.160641,V66_RAW,B2-8,NTHP,816,2,NCUT,0
2026-06-18T15:08:58.175637,V66_RAW,B2-8,NTHP,816,3,EXTR,0
2026-06-18T15:08:58.192324,V66_RAW,B2-8,NTHP,816,4,FCYC,0
2026-06-18T15:08:58.208088,V66_RAW,B2-8,NTHP,817,0,FULL,0
2026-06-18T15:08:58.222254,V66_RAW,B2-8,NTHP,817,1,PCUT,0
