sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
807,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
808,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
809,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
810,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
811,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
812,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
813,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
814,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
815,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
816,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
817,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
818,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
819,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
820,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
821,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
822,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
823,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
824,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
825,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
826,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
827,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
828,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
829,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
830,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
831,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
832,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
833,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
834,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
835,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
836,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
837,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
838,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
839,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
840,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
841,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
842,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
843,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
844,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
845,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
846,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
847,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
848,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
849,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
850,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
851,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
852,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
853,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
854,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
855,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
856,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
857,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
858,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
859,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
860,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
861,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
862,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
863,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
864,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
865,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
866,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
867,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
868,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
869,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
870,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
871,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
872,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
873,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
874,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
875,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
876,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
877,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
878,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
879,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
880,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
881,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
882,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
883,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
884,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
885,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
886,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
887,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
888,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
889,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
890,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
905,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
