pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T16:49:30.576090,V66_RAW,B2-8,NTHP,37694,0,FULL,0
2026-06-23T16:49:30.591057,V66_RAW,B2-8,NTHP,37694,1,PCUT,0
2026-06-23T16:49:30.607501,V66_RAW,B2-8,NTHP,37694,2,NCUT,0
2026-06-23T16:49:30.623598,V66_RAW,B2-8,NTHP,37694,3,EXTR,0
2026-06-23T16:49:30.639221,V66_RAW,B2-8,NTHP,37694,4,FCYC,0
2026-06-23T16:49:30.656889,V66_RAW,B2-8,NTHP,37695,0,FULL,0
2026-06-23T16:49:30.671396,V66_RAW,B2-8,NTHP,37695,1,PCUT,0
2026-06-23T16:49:30.686666,V66_RAW,B2-8,NTHP,37695,2,NCUT,0
2026-06-23T16:49:30.702652,V66_RAW,B2-8,NTHP,37695,3,EXTR,0
2026-06-23T16:49:30.716971,V66_RAW,B2-8,NTHP,37695,4,FCYC,0
2026-06-23T16:49:30.732616,V66_RAW,B2-8,NTHP,37696,0,FULL,0
2026-06-23T16:49:30.748353,V66_RAW,B2-8,NTHP,37696,1,PCUT,0
2026-06-23T16:49:30.763382,V66_RAW,B2-8,NTHP,37696,2,NCUT,0
2026-06-23T16:49:30.779378,V66_RAW,B2-8,NTHP,37696,3,EXTR,0
2026-06-23T16:49:30.809167,V66_RAW,B2-8,NTHP,37696,4,FCYC,0
2026-06-23T16:49:30.824973,V66_RAW,B2-8,NTHP,37697,0,FULL,0
2026-06-23T16:49:30.840322,V66_RAW,B2-8,NTHP,37697,1,PCUT,0
2026-06-23T16:49:30.855148,V66_RAW,B2-8,NTHP,37697,2,NCUT,0
2026-06-23T16:49:30.872209,V66_RAW,B2-8,NTHP,37697,3,EXTR,0
2026-06-23T16:49:30.886455,V66_RAW,B2-8,NTHP,37697,4,FCYC,0
2026-06-23T16:49:30.902609,V66_RAW,B2-8,NTHP,37698,0,FULL,0
2026-06-23T16:49:30.918203,V66_RAW,B2-8,NTHP,37698,1,PCUT,0
2026-06-23T16:49:30.934265,V66_RAW,B2-8,NTHP,37698,2,NCUT,0
2026-06-23T16:49:30.950319,V66_RAW,B2-8,NTHP,37698,3,EXTR,0
2026-06-23T16:49:30.965126,V66_RAW,B2-8,NTHP,37698,4,FCYC,0
2026-06-23T16:49:30.981371,V66_RAW,B2-8,NTHP,37699,0,FULL,0
2026-06-23T16:49:30.996279,V66_RAW,B2-8,NTHP,37699,1,PCUT,0
2026-06-23T16:49:31.011427,V66_RAW,B2-8,NTHP,37699,2,NCUT,0
2026-06-23T16:49:31.026822,V66_RAW,B2-8,NTHP,37699,3,EXTR,0
2026-06-23T16:49:31.042387,V66_RAW,B2-8,NTHP,37699,4,FCYC,0
2026-06-23T16:49:31.057608,V66_RAW,B2-8,NTHP,37700,0,FULL,0
2026-06-23T16:49:31.072867,V66_RAW,B2-8,NTHP,37700,1,PCUT,0
2026-06-23T16:49:31.087728,V66_RAW,B2-8,NTHP,37700,2,NCUT,0
2026-06-23T16:49:31.103285,V66_RAW,B2-8,NTHP,37700,3,EXTR,0
2026-06-23T16:49:31.119055,V66_RAW,B2-8,NTHP,37700,4,FCYC,0
2026-06-23T16:49:31.133339,V66_RAW,B2-8,NTHP,37701,0,FULL,0
2026-06-23T16:49:31.149478,V66_RAW,B2-8,NTHP,37701,1,PCUT,0
2026-06-23T16:49:31.165396,V66_RAW,B2-8,NTHP,37701,2,NCUT,0
2026-06-23T16:49:31.181503,V66_RAW,B2-8,NTHP,37701,3,EXTR,0
2026-06-23T16:49:31.196931,V66_RAW,B2-8,NTHP,37701,4,FCYC,0
2026-06-23T16:49:31.212505,V66_RAW,B2-8,NTHP,37702,0,FULL,0
2026-06-23T16:49:31.229456,V66_RAW,B2-8,NTHP,37702,1,PCUT,0
2026-06-23T16:49:31.243517,V66_RAW,B2-8,NTHP,37702,2,NCUT,0
2026-06-23T16:49:31.259296,V66_RAW,B2-8,NTHP,37702,3,EXTR,0
2026-06-23T16:49:31.275510,V66_RAW,B2-8,NTHP,37702,4,FCYC,0
2026-06-23T16:49:31.290933,V66_RAW,B2-8,NTHP,37703,0,FULL,0
2026-06-23T16:49:31.321808,V66_RAW,B2-8,NTHP,37703,1,PCUT,0
2026-06-23T16:49:31.336705,V66_RAW,B2-8,NTHP,37703,2,NCUT,0
2026-06-23T16:49:31.352828,V66_RAW,B2-8,NTHP,37703,3,EXTR,0
2026-06-23T16:49:31.368740,V66_RAW,B2-8,NTHP,37703,4,FCYC,0
2026-06-23T16:49:31.384239,V66_RAW,B2-8,NTHP,37704,0,FULL,0
2026-06-23T16:49:31.400309,V66_RAW,B2-8,NTHP,37704,1,PCUT,0
2026-06-23T16:49:31.415962,V66_RAW,B2-8,NTHP,37704,2,NCUT,0
2026-06-23T16:49:31.431673,V66_RAW,B2-8,NTHP,37704,3,EXTR,0
2026-06-23T16:49:31.447902,V66_RAW,B2-8,NTHP,37704,4,FCYC,0
2026-06-23T16:49:31.462947,V66_RAW,B2-8,NTHP,37705,0,FULL,0
2026-06-23T16:49:31.478803,V66_RAW,B2-8,NTHP,37705,1,PCUT,0
2026-06-23T16:49:31.493888,V66_RAW,B2-8,NTHP,37705,2,NCUT,0
2026-06-23T16:49:31.509837,V66_RAW,B2-8,NTHP,37705,3,EXTR,0
2026-06-23T16:49:31.525230,V66_RAW,B2-8,NTHP,37705,4,FCYC,0
2026-06-23T16:49:31.541281,V66_RAW,B2-8,NTHP,37706,0,FULL,0
2026-06-23T16:49:31.556862,V66_RAW,B2-8,NTHP,37706,1,PCUT,0
2026-06-23T16:49:31.572030,V66_RAW,B2-8,NTHP,37706,2,NCUT,0
2026-06-23T16:49:31.587841,V66_RAW,B2-8,NTHP,37706,3,EXTR,0
2026-06-23T16:49:31.603474,V66_RAW,B2-8,NTHP,37706,4,FCYC,0
2026-06-23T16:49:31.619013,V66_RAW,B2-8,NTHP,37707,0,FULL,0
2026-06-23T16:49:31.635176,V66_RAW,B2-8,NTHP,37707,1,PCUT,0
2026-06-23T16:49:31.650233,V66_RAW,B2-8,NTHP,37707,2,NCUT,0
2026-06-23T16:49:31.666163,V66_RAW,B2-8,NTHP,37707,3,EXTR,0
2026-06-23T16:49:31.680486,V66_RAW,B2-8,NTHP,37707,4,FCYC,0
2026-06-23T16:49:31.696080,V66_RAW,B2-8,NTHP,37708,0,FULL,0
2026-06-23T16:49:31.711233,V66_RAW,B2-8,NTHP,37708,1,PCUT,0
