sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
37694,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37695,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37696,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37697,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37698,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37699,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37700,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37701,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37702,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37703,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37704,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37705,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37706,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37707,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37708,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37709,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37710,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37711,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37712,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37713,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37714,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37715,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37716,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37717,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37718,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37719,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37720,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37721,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37722,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37723,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37724,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37725,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37726,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37727,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37728,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37729,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37730,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37731,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37732,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37733,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37734,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37735,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37736,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37737,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37738,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37739,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37740,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37741,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37742,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37743,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37744,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37745,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37746,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37747,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37748,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37749,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37750,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37751,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37752,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37753,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37754,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37755,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37756,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37757,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37758,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37759,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37760,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37761,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37762,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37763,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37764,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37765,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37766,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37767,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37768,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37769,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37770,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37771,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37772,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37773,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37774,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37775,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
37776,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
