pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:07:37.876970,V66_RAW,B2-8,NTNP,65349,0,FULL,0
2026-06-18T15:07:37.892988,V66_RAW,B2-8,NTNP,65349,1,PCUT,0
2026-06-18T15:07:37.906666,V66_RAW,B2-8,NTNP,65349,2,NCUT,0
2026-06-18T15:07:37.923969,V66_RAW,B2-8,NTNP,65349,3,EXTR,0
2026-06-18T15:07:37.938030,V66_RAW,B2-8,NTNP,65349,4,FCYC,0
2026-06-18T15:07:37.953377,V66_RAW,B2-8,NTNP,65350,0,FULL,0
2026-06-18T15:07:37.971556,V66_RAW,B2-8,NTNP,65350,1,PCUT,0
2026-06-18T15:07:37.984918,V66_RAW,B2-8,NTNP,65350,2,NCUT,0
2026-06-18T15:07:38.001652,V66_RAW,B2-8,NTNP,65350,3,EXTR,0
2026-06-18T15:07:38.018177,V66_RAW,B2-8,NTNP,65350,4,FCYC,0
2026-06-18T15:07:38.049045,V66_RAW,B2-8,NTNP,65351,0,FULL,0
2026-06-18T15:07:38.050238,V66_RAW,B2-8,NTNP,65351,1,PCUT,0
2026-06-18T15:07:38.065090,V66_RAW,B2-8,NTNP,65351,2,NCUT,0
2026-06-18T15:07:38.082411,V66_RAW,B2-8,NTNP,65351,3,EXTR,0
2026-06-18T15:07:38.112284,V66_RAW,B2-8,NTNP,65351,4,FCYC,0
2026-06-18T15:07:38.114525,V66_RAW,B2-8,NTNP,65352,0,FULL,0
2026-06-18T15:07:38.140759,V66_RAW,B2-8,NTNP,65352,1,PCUT,0
2026-06-18T15:07:38.141462,V66_RAW,B2-8,NTNP,65352,2,NCUT,0
2026-06-18T15:07:38.157144,V66_RAW,B2-8,NTNP,65352,3,EXTR,0
2026-06-18T15:07:38.173294,V66_RAW,B2-8,NTNP,65352,4,FCYC,0
2026-06-18T15:07:38.187913,V66_RAW,B2-8,NTNP,65353,0,FULL,0
2026-06-18T15:07:38.203608,V66_RAW,B2-8,NTNP,65353,1,PCUT,0
2026-06-18T15:07:38.219110,V66_RAW,B2-8,NTNP,65353,2,NCUT,0
2026-06-18T15:07:38.234860,V66_RAW,B2-8,NTNP,65353,3,EXTR,0
2026-06-18T15:07:38.250575,V66_RAW,B2-8,NTNP,65353,4,FCYC,0
2026-06-18T15:07:38.266453,V66_RAW,B2-8,NTNP,65354,0,FULL,0
2026-06-18T15:07:38.281069,V66_RAW,B2-8,NTNP,65354,1,PCUT,0
2026-06-18T15:07:38.297339,V66_RAW,B2-8,NTNP,65354,2,NCUT,0
2026-06-18T15:07:38.312667,V66_RAW,B2-8,NTNP,65354,3,EXTR,0
2026-06-18T15:07:38.329498,V66_RAW,B2-8,NTNP,65354,4,FCYC,0
2026-06-18T15:07:38.343435,V66_RAW,B2-8,NTNP,65355,0,FULL,0
2026-06-18T15:07:38.373385,V66_RAW,B2-8,NTNP,65355,1,PCUT,0
2026-06-18T15:07:38.375001,V66_RAW,B2-8,NTNP,65355,2,NCUT,0
2026-06-18T15:07:38.404412,V66_RAW,B2-8,NTNP,65355,3,EXTR,0
2026-06-18T15:07:38.419726,V66_RAW,B2-8,NTNP,65355,4,FCYC,0
2026-06-18T15:07:38.435739,V66_RAW,B2-8,NTNP,65356,0,FULL,0
2026-06-18T15:07:38.451741,V66_RAW,B2-8,NTNP,65356,1,PCUT,0
2026-06-18T15:07:38.467624,V66_RAW,B2-8,NTNP,65356,2,NCUT,0
2026-06-18T15:07:38.483172,V66_RAW,B2-8,NTNP,65356,3,EXTR,0
2026-06-18T15:07:38.498192,V66_RAW,B2-8,NTNP,65356,4,FCYC,0
2026-06-18T15:07:38.513299,V66_RAW,B2-8,NTNP,65357,0,FULL,0
2026-06-18T15:07:38.529954,V66_RAW,B2-8,NTNP,65357,1,PCUT,0
2026-06-18T15:07:38.545192,V66_RAW,B2-8,NTNP,65357,2,NCUT,0
2026-06-18T15:07:38.562039,V66_RAW,B2-8,NTNP,65357,3,EXTR,0
