sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
65349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65355,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65356,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65357,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65358,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65359,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65360,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65361,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65362,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65363,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65364,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65365,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65366,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65367,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65368,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65369,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65370,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65371,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65372,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65373,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65374,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65375,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65376,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65377,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65378,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65379,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65380,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65381,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65382,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65383,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65384,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65385,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65386,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65387,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65388,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65389,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65390,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65404,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65405,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65406,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65407,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65408,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65409,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65410,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65411,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65412,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65413,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65414,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65415,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65416,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65417,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65418,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65419,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65420,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65421,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65422,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65423,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65424,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65425,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65426,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65427,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65428,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65429,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65430,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65431,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65432,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65433,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65434,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65435,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65436,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65437,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65438,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65439,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65440,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65441,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65442,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65443,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65444,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65445,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65446,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65447,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
