sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
35918,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35919,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35920,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35921,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35922,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35923,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35924,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35925,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35926,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35927,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35928,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35929,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35930,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35931,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35932,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35933,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35934,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35935,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35936,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35944,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35945,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35946,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35947,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35948,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35949,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35950,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35951,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35952,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35953,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35954,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35955,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35956,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35957,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35958,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35959,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35960,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35961,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35962,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35963,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35964,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35965,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35966,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35967,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35968,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35969,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35970,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35971,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35972,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35973,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35974,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35975,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35976,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35977,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35978,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35979,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35980,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35981,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35982,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35983,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35984,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35985,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35986,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35987,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35988,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35989,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35990,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35991,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35992,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35993,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35994,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35995,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35996,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35997,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35998,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35999,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36000,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36001,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36002,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36003,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36004,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36005,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36006,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36007,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36008,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36009,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36010,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36011,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36012,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36013,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36014,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36015,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
36016,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
