pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:29:04.390454,V66_RAW,B2-9,HTHP,15891,0,FULL,0
2026-06-18T15:29:04.406075,V66_RAW,B2-9,HTHP,15891,1,PCUT,0
2026-06-18T15:29:04.422180,V66_RAW,B2-9,HTHP,15891,2,NCUT,0
2026-06-18T15:29:04.437144,V66_RAW,B2-9,HTHP,15891,3,EXTR,0
2026-06-18T15:29:04.466120,V66_RAW,B2-9,HTHP,15891,4,FCYC,0
2026-06-18T15:29:04.481260,V66_RAW,B2-9,HTHP,15892,0,FULL,0
2026-06-18T15:29:04.496619,V66_RAW,B2-9,HTHP,15892,1,PCUT,0
2026-06-18T15:29:04.512108,V66_RAW,B2-9,HTHP,15892,2,NCUT,0
2026-06-18T15:29:04.527766,V66_RAW,B2-9,HTHP,15892,3,EXTR,0
2026-06-18T15:29:04.543360,V66_RAW,B2-9,HTHP,15892,4,FCYC,0
2026-06-18T15:29:04.558971,V66_RAW,B2-9,HTHP,15893,0,FULL,0
2026-06-18T15:29:04.573776,V66_RAW,B2-9,HTHP,15893,1,PCUT,0
2026-06-18T15:29:04.590015,V66_RAW,B2-9,HTHP,15893,2,NCUT,0
2026-06-18T15:29:04.606227,V66_RAW,B2-9,HTHP,15893,3,EXTR,0
2026-06-18T15:29:04.622106,V66_RAW,B2-9,HTHP,15893,4,FCYC,0
2026-06-18T15:29:04.637881,V66_RAW,B2-9,HTHP,15894,0,FULL,0
2026-06-18T15:29:04.653409,V66_RAW,B2-9,HTHP,15894,1,PCUT,0
2026-06-18T15:29:04.669998,V66_RAW,B2-9,HTHP,15894,2,NCUT,0
2026-06-18T15:29:04.685388,V66_RAW,B2-9,HTHP,15894,3,EXTR,0
2026-06-18T15:29:04.700836,V66_RAW,B2-9,HTHP,15894,4,FCYC,0
2026-06-18T15:29:04.715860,V66_RAW,B2-9,HTHP,15895,0,FULL,0
2026-06-18T15:29:04.730912,V66_RAW,B2-9,HTHP,15895,1,PCUT,0
2026-06-18T15:29:04.746895,V66_RAW,B2-9,HTHP,15895,2,NCUT,0
2026-06-18T15:29:04.762190,V66_RAW,B2-9,HTHP,15895,3,EXTR,0
2026-06-18T15:29:04.777876,V66_RAW,B2-9,HTHP,15895,4,FCYC,0
2026-06-18T15:29:04.792891,V66_RAW,B2-9,HTHP,15896,0,FULL,0
2026-06-18T15:29:04.808497,V66_RAW,B2-9,HTHP,15896,1,PCUT,0
2026-06-18T15:29:04.823755,V66_RAW,B2-9,HTHP,15896,2,NCUT,0
2026-06-18T15:29:04.839337,V66_RAW,B2-9,HTHP,15896,3,EXTR,0
2026-06-18T15:29:04.855486,V66_RAW,B2-9,HTHP,15896,4,FCYC,0
2026-06-18T15:29:04.870543,V66_RAW,B2-9,HTHP,15897,0,FULL,0
2026-06-18T15:29:04.887303,V66_RAW,B2-9,HTHP,15897,1,PCUT,0
2026-06-18T15:29:04.901795,V66_RAW,B2-9,HTHP,15897,2,NCUT,0
2026-06-18T15:29:04.917382,V66_RAW,B2-9,HTHP,15897,3,EXTR,0
2026-06-18T15:29:04.933468,V66_RAW,B2-9,HTHP,15897,4,FCYC,0
2026-06-18T15:29:04.948999,V66_RAW,B2-9,HTHP,15898,0,FULL,0
2026-06-18T15:29:04.979183,V66_RAW,B2-9,HTHP,15898,1,PCUT,0
2026-06-18T15:29:04.994877,V66_RAW,B2-9,HTHP,15898,2,NCUT,0
2026-06-18T15:29:05.011437,V66_RAW,B2-9,HTHP,15898,3,EXTR,0
2026-06-18T15:29:05.012900,V66_RAW,B2-9,HTHP,15898,4,FCYC,0
2026-06-18T15:29:05.040906,V66_RAW,B2-9,HTHP,15899,0,FULL,0
2026-06-18T15:29:05.056341,V66_RAW,B2-9,HTHP,15899,1,PCUT,0
2026-06-18T15:29:05.072509,V66_RAW,B2-9,HTHP,15899,2,NCUT,0
2026-06-18T15:29:05.088054,V66_RAW,B2-9,HTHP,15899,3,EXTR,0
2026-06-18T15:29:05.103338,V66_RAW,B2-9,HTHP,15899,4,FCYC,0
2026-06-18T15:29:05.119329,V66_RAW,B2-9,HTHP,15900,0,FULL,0
2026-06-18T15:29:05.135094,V66_RAW,B2-9,HTHP,15900,1,PCUT,0
