sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
15891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15905,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15906,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15907,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15908,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15909,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15910,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15911,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15912,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15913,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15914,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15915,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15916,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15917,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15918,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15919,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15920,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15921,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15922,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15923,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15924,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15925,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15926,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15927,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15928,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15929,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15930,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15931,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15932,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15933,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15934,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15935,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15936,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
15943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
