sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
42446,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42447,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42448,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42449,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42450,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42451,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42452,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42453,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42454,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42455,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42456,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42457,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42458,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42459,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42460,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42461,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42462,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42463,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42464,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42465,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42466,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42467,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42468,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42469,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42470,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42471,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42472,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42473,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42474,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
