pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:27:04.377642,V66_RAW,B2-9,NTHP,14391,0,FULL,0
2026-06-18T15:27:04.378878,V66_RAW,B2-9,NTHP,14391,1,PCUT,0
2026-06-18T15:27:04.411076,V66_RAW,B2-9,NTHP,14391,2,NCUT,0
2026-06-18T15:27:04.412531,V66_RAW,B2-9,NTHP,14391,3,EXTR,0
2026-06-18T15:27:04.440750,V66_RAW,B2-9,NTHP,14391,4,FCYC,0
2026-06-18T15:27:04.442796,V66_RAW,B2-9,NTHP,14392,0,FULL,0
2026-06-18T15:27:04.470546,V66_RAW,B2-9,NTHP,14392,1,PCUT,0
2026-06-18T15:27:04.485771,V66_RAW,B2-9,NTHP,14392,2,NCUT,0
2026-06-18T15:27:04.502060,V66_RAW,B2-9,NTHP,14392,3,EXTR,0
2026-06-18T15:27:04.518387,V66_RAW,B2-9,NTHP,14392,4,FCYC,0
2026-06-18T15:27:04.533518,V66_RAW,B2-9,NTHP,14393,0,FULL,0
2026-06-18T15:27:04.548981,V66_RAW,B2-9,NTHP,14393,1,PCUT,0
2026-06-18T15:27:04.564672,V66_RAW,B2-9,NTHP,14393,2,NCUT,0
2026-06-18T15:27:04.580359,V66_RAW,B2-9,NTHP,14393,3,EXTR,0
2026-06-18T15:27:04.595296,V66_RAW,B2-9,NTHP,14393,4,FCYC,0
2026-06-18T15:27:04.610232,V66_RAW,B2-9,NTHP,14394,0,FULL,0
2026-06-18T15:27:04.626361,V66_RAW,B2-9,NTHP,14394,1,PCUT,0
2026-06-18T15:27:04.643532,V66_RAW,B2-9,NTHP,14394,2,NCUT,0
2026-06-18T15:27:04.656623,V66_RAW,B2-9,NTHP,14394,3,EXTR,0
2026-06-18T15:27:04.672347,V66_RAW,B2-9,NTHP,14394,4,FCYC,0
2026-06-18T15:27:04.687393,V66_RAW,B2-9,NTHP,14395,0,FULL,0
2026-06-18T15:27:04.702535,V66_RAW,B2-9,NTHP,14395,1,PCUT,0
2026-06-18T15:27:04.718368,V66_RAW,B2-9,NTHP,14395,2,NCUT,0
2026-06-18T15:27:04.733940,V66_RAW,B2-9,NTHP,14395,3,EXTR,0
2026-06-18T15:27:04.750244,V66_RAW,B2-9,NTHP,14395,4,FCYC,0
2026-06-18T15:27:04.766108,V66_RAW,B2-9,NTHP,14396,0,FULL,0
2026-06-18T15:27:04.782136,V66_RAW,B2-9,NTHP,14396,1,PCUT,0
2026-06-18T15:27:04.797694,V66_RAW,B2-9,NTHP,14396,2,NCUT,0
2026-06-18T15:27:04.813417,V66_RAW,B2-9,NTHP,14396,3,EXTR,0
2026-06-18T15:27:04.828586,V66_RAW,B2-9,NTHP,14396,4,FCYC,0
2026-06-18T15:27:04.844585,V66_RAW,B2-9,NTHP,14397,0,FULL,0
2026-06-18T15:27:04.860002,V66_RAW,B2-9,NTHP,14397,1,PCUT,0
2026-06-18T15:27:04.875213,V66_RAW,B2-9,NTHP,14397,2,NCUT,0
2026-06-18T15:27:04.891635,V66_RAW,B2-9,NTHP,14397,3,EXTR,0
2026-06-18T15:27:04.909722,V66_RAW,B2-9,NTHP,14397,4,FCYC,0
2026-06-18T15:27:04.922662,V66_RAW,B2-9,NTHP,14398,0,FULL,0
2026-06-18T15:27:04.952645,V66_RAW,B2-9,NTHP,14398,1,PCUT,0
2026-06-18T15:27:04.968697,V66_RAW,B2-9,NTHP,14398,2,NCUT,0
2026-06-18T15:27:04.970164,V66_RAW,B2-9,NTHP,14398,3,EXTR,0
2026-06-18T15:27:04.999786,V66_RAW,B2-9,NTHP,14398,4,FCYC,0
2026-06-18T15:27:05.001083,V66_RAW,B2-9,NTHP,14399,0,FULL,0
2026-06-18T15:27:05.029603,V66_RAW,B2-9,NTHP,14399,1,PCUT,0
2026-06-18T15:27:05.045150,V66_RAW,B2-9,NTHP,14399,2,NCUT,0
2026-06-18T15:27:05.060759,V66_RAW,B2-9,NTHP,14399,3,EXTR,0
2026-06-18T15:27:05.079123,V66_RAW,B2-9,NTHP,14399,4,FCYC,0
2026-06-18T15:27:05.107638,V66_RAW,B2-9,NTHP,14400,0,FULL,0
2026-06-18T15:27:05.109436,V66_RAW,B2-9,NTHP,14400,1,PCUT,0
2026-06-18T15:27:05.138127,V66_RAW,B2-9,NTHP,14400,2,NCUT,0
2026-06-18T15:27:05.139495,V66_RAW,B2-9,NTHP,14400,3,EXTR,0
2026-06-18T15:27:05.154108,V66_RAW,B2-9,NTHP,14400,4,FCYC,0
2026-06-18T15:27:05.168756,V66_RAW,B2-9,NTHP,14401,0,FULL,0
2026-06-18T15:27:05.184787,V66_RAW,B2-9,NTHP,14401,1,PCUT,0
2026-06-18T15:27:05.199947,V66_RAW,B2-9,NTHP,14401,2,NCUT,0
2026-06-18T15:27:05.216022,V66_RAW,B2-9,NTHP,14401,3,EXTR,0
2026-06-18T15:27:05.233355,V66_RAW,B2-9,NTHP,14401,4,FCYC,0
2026-06-18T15:27:05.250696,V66_RAW,B2-9,NTHP,14402,0,FULL,0
2026-06-18T15:27:05.281280,V66_RAW,B2-9,NTHP,14402,1,PCUT,0
2026-06-18T15:27:05.282248,V66_RAW,B2-9,NTHP,14402,2,NCUT,0
2026-06-18T15:27:05.310483,V66_RAW,B2-9,NTHP,14402,3,EXTR,0
2026-06-18T15:27:05.312124,V66_RAW,B2-9,NTHP,14402,4,FCYC,0
2026-06-18T15:27:05.326301,V66_RAW,B2-9,NTHP,14403,0,FULL,0
2026-06-18T15:27:05.340951,V66_RAW,B2-9,NTHP,14403,1,PCUT,0
2026-06-18T15:27:05.357386,V66_RAW,B2-9,NTHP,14403,2,NCUT,0
2026-06-18T15:27:05.371764,V66_RAW,B2-9,NTHP,14403,3,EXTR,0
2026-06-18T15:27:05.387681,V66_RAW,B2-9,NTHP,14403,4,FCYC,0
2026-06-18T15:27:05.404046,V66_RAW,B2-9,NTHP,14404,0,FULL,0
2026-06-18T15:27:05.419751,V66_RAW,B2-9,NTHP,14404,1,PCUT,0
2026-06-18T15:27:05.434731,V66_RAW,B2-9,NTHP,14404,2,NCUT,0
2026-06-18T15:27:05.464051,V66_RAW,B2-9,NTHP,14404,3,EXTR,0
2026-06-18T15:27:05.480300,V66_RAW,B2-9,NTHP,14404,4,FCYC,0
2026-06-18T15:27:05.495457,V66_RAW,B2-9,NTHP,14405,0,FULL,0
2026-06-18T15:27:05.511562,V66_RAW,B2-9,NTHP,14405,1,PCUT,0
2026-06-18T15:27:05.529609,V66_RAW,B2-9,NTHP,14405,2,NCUT,0
2026-06-18T15:27:05.531456,V66_RAW,B2-9,NTHP,14405,3,EXTR,0
2026-06-18T15:27:05.559090,V66_RAW,B2-9,NTHP,14405,4,FCYC,0
2026-06-18T15:27:05.574947,V66_RAW,B2-9,NTHP,14406,0,FULL,0
2026-06-18T15:27:05.591991,V66_RAW,B2-9,NTHP,14406,1,PCUT,0
2026-06-18T15:27:05.607146,V66_RAW,B2-9,NTHP,14406,2,NCUT,0
2026-06-18T15:27:05.622828,V66_RAW,B2-9,NTHP,14406,3,EXTR,0
2026-06-18T15:27:05.638912,V66_RAW,B2-9,NTHP,14406,4,FCYC,0
2026-06-18T15:27:05.652735,V66_RAW,B2-9,NTHP,14407,0,FULL,0
2026-06-18T15:27:05.668869,V66_RAW,B2-9,NTHP,14407,1,PCUT,0
2026-06-18T15:27:05.682503,V66_RAW,B2-9,NTHP,14407,2,NCUT,0
2026-06-18T15:27:05.699986,V66_RAW,B2-9,NTHP,14407,3,EXTR,0
2026-06-18T15:27:05.729751,V66_RAW,B2-9,NTHP,14407,4,FCYC,0
2026-06-18T15:27:05.730580,V66_RAW,B2-9,NTHP,14408,0,FULL,0
2026-06-18T15:27:05.745423,V66_RAW,B2-9,NTHP,14408,1,PCUT,0
2026-06-18T15:27:05.763571,V66_RAW,B2-9,NTHP,14408,2,NCUT,0
2026-06-18T15:27:05.791474,V66_RAW,B2-9,NTHP,14408,3,EXTR,0
2026-06-18T15:27:05.792326,V66_RAW,B2-9,NTHP,14408,4,FCYC,0
2026-06-18T15:27:05.808966,V66_RAW,B2-9,NTHP,14409,0,FULL,0
2026-06-18T15:27:05.838761,V66_RAW,B2-9,NTHP,14409,1,PCUT,0
2026-06-18T15:27:05.839628,V66_RAW,B2-9,NTHP,14409,2,NCUT,0
