sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
14391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14404,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14405,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14406,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14407,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14408,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14409,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14410,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14411,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14412,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14413,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14414,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14415,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14416,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14417,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14418,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14419,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14420,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14421,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14422,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14423,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14424,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
14425,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
