pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:26:27.482104,V66_RAW,B2-9,NTNP,13930,0,FULL,0
2026-06-18T15:26:27.497516,V66_RAW,B2-9,NTNP,13930,1,PCUT,0
2026-06-18T15:26:27.512890,V66_RAW,B2-9,NTNP,13930,2,NCUT,0
2026-06-18T15:26:27.528681,V66_RAW,B2-9,NTNP,13930,3,EXTR,0
2026-06-18T15:26:27.543734,V66_RAW,B2-9,NTNP,13930,4,FCYC,0
2026-06-18T15:26:27.559641,V66_RAW,B2-9,NTNP,13931,0,FULL,0
2026-06-18T15:26:27.576758,V66_RAW,B2-9,NTNP,13931,1,PCUT,0
2026-06-18T15:26:27.591048,V66_RAW,B2-9,NTNP,13931,2,NCUT,0
2026-06-18T15:26:27.607223,V66_RAW,B2-9,NTNP,13931,3,EXTR,0
2026-06-18T15:26:27.621926,V66_RAW,B2-9,NTNP,13931,4,FCYC,0
2026-06-18T15:26:27.636741,V66_RAW,B2-9,NTNP,13932,0,FULL,0
2026-06-18T15:26:27.652223,V66_RAW,B2-9,NTNP,13932,1,PCUT,0
2026-06-18T15:26:27.667274,V66_RAW,B2-9,NTNP,13932,2,NCUT,0
2026-06-18T15:26:27.683104,V66_RAW,B2-9,NTNP,13932,3,EXTR,0
2026-06-18T15:26:27.698410,V66_RAW,B2-9,NTNP,13932,4,FCYC,0
2026-06-18T15:26:27.714338,V66_RAW,B2-9,NTNP,13933,0,FULL,0
2026-06-18T15:26:27.745897,V66_RAW,B2-9,NTNP,13933,1,PCUT,0
2026-06-18T15:26:27.747582,V66_RAW,B2-9,NTNP,13933,2,NCUT,0
2026-06-18T15:26:27.764251,V66_RAW,B2-9,NTNP,13933,3,EXTR,0
2026-06-18T15:26:27.793758,V66_RAW,B2-9,NTNP,13933,4,FCYC,0
2026-06-18T15:26:27.797471,V66_RAW,B2-9,NTNP,13934,0,FULL,0
2026-06-18T15:26:27.822889,V66_RAW,B2-9,NTNP,13934,1,PCUT,0
2026-06-18T15:26:27.839036,V66_RAW,B2-9,NTNP,13934,2,NCUT,0
2026-06-18T15:26:27.854748,V66_RAW,B2-9,NTNP,13934,3,EXTR,0
2026-06-18T15:26:27.870041,V66_RAW,B2-9,NTNP,13934,4,FCYC,0
2026-06-18T15:26:27.886264,V66_RAW,B2-9,NTNP,13935,0,FULL,0
2026-06-18T15:26:27.901664,V66_RAW,B2-9,NTNP,13935,1,PCUT,0
2026-06-18T15:26:27.917379,V66_RAW,B2-9,NTNP,13935,2,NCUT,0
2026-06-18T15:26:27.933246,V66_RAW,B2-9,NTNP,13935,3,EXTR,0
2026-06-18T15:26:27.946928,V66_RAW,B2-9,NTNP,13935,4,FCYC,0
2026-06-18T15:26:27.962290,V66_RAW,B2-9,NTNP,13936,0,FULL,0
2026-06-18T15:26:27.978069,V66_RAW,B2-9,NTNP,13936,1,PCUT,0
2026-06-18T15:26:27.994923,V66_RAW,B2-9,NTNP,13936,2,NCUT,0
