sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
13930,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13931,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13932,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13933,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13934,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13935,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13936,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13944,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13945,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13946,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13947,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13948,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13949,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13950,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13951,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13952,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13953,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13954,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13955,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13956,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13957,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13958,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13959,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13960,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13961,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13962,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13963,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13964,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13965,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13966,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13967,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13968,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13969,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13970,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13971,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13972,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13973,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13974,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13975,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13976,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13977,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13978,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13979,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13980,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13981,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13982,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13983,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
